timestamp,listings_total,listings_real,landlords_real,listings_gta
2026-08-28 23:08:26,18,2,2,1
2026-08-29 12:30:15,13,2,2,1
2026-08-29 12:40:15,13,2,2,1
2026-08-29 12:50:16,13,2,2,1
2026-09-02 17:02:11,13,2,2,1
2026-09-02 17:12:12,13,2,2,1
2026-09-02 17:22:12,13,2,2,1
2026-09-02 17:32:13,13,2,2,1
2026-09-02 17:42:14,13,2,2,1
2026-09-02 17:52:14,13,2,2,1
2026-09-02 18:02:15,13,2,2,1
2026-09-02 18:05:44,9,2,2,1
2026-09-02 18:12:16,9,2,2,1
2026-09-02 18:22:17,9,2,2,1
2026-09-02 18:37:13,9,2,2,1
2026-09-02 18:47:13,9,2,2,1
2026-09-02 18:57:14,9,2,2,1
2026-09-02 19:07:14,9,2,2,1
2026-09-02 19:17:15,9,2,2,1
2026-09-02 19:27:16,9,2,2,1
2026-09-02 19:37:16,9,2,2,1
2026-09-02 19:47:17,9,2,2,1
2026-09-02 19:57:17,9,2,2,1
2026-09-02 20:07:18,9,2,2,1
2026-09-02 20:08:17,9,2,2,1
2026-09-02 20:18:18,9,2,2,1
2026-09-02 20:28:18,9,2,2,1
2026-09-02 20:38:19,9,2,2,1
2026-09-02 20:48:19,9,2,2,1
2026-09-02 20:58:20,9,2,2,1
2026-09-02 21:08:20,9,2,2,1
2026-09-02 21:18:21,9,2,2,1
2026-09-02 21:28:21,9,2,2,1
2026-09-02 21:38:22,9,2,2,1
2026-09-02 21:48:23,9,2,2,1
2026-09-02 21:58:23,9,2,2,1
2026-09-02 22:08:24,9,2,2,1
2026-09-02 22:18:24,9,2,2,1
2026-09-02 22:28:25,9,2,2,1
2026-09-02 22:38:26,9,2,2,1
2026-09-02 22:48:26,9,2,2,1
2026-09-02 22:58:27,9,2,2,1
2026-09-02 23:08:27,9,2,2,1
2026-09-02 23:18:28,9,2,2,1
2026-09-02 23:28:29,9,2,2,1
2026-09-02 23:38:29,9,2,2,1
2026-09-02 23:48:30,9,2,2,1
2026-09-02 23:58:30,9,2,2,1
2026-09-03 00:08:31,9,2,2,1
2026-09-03 00:18:31,9,2,2,1
2026-09-03 00:28:32,9,2,2,1
2026-09-03 00:38:33,9,2,2,1
2026-09-03 00:48:33,9,2,2,1
2026-09-03 00:58:34,9,2,2,1
2026-09-03 01:08:34,9,2,2,1
2026-09-03 01:18:35,9,2,2,1
2026-09-03 01:28:35,9,2,2,1
2026-09-03 01:38:36,9,2,2,1
2026-09-03 01:48:37,9,2,2,1
2026-09-03 01:58:37,9,2,2,1
2026-09-03 02:08:38,9,2,2,1
2026-09-03 02:18:38,9,2,2,1
2026-09-03 02:28:39,9,2,2,1
2026-09-03 02:38:39,9,2,2,1
2026-09-03 02:48:40,9,2,2,1
2026-09-03 02:58:40,9,2,2,1
2026-09-03 03:08:41,9,2,2,1
2026-09-03 03:18:42,9,2,2,1
2026-09-03 03:28:42,9,2,2,1
2026-09-03 03:38:43,9,2,2,1
2026-09-03 03:48:43,9,2,2,1
2026-09-03 03:58:44,9,2,2,1
2026-09-03 04:08:45,9,2,2,1
